rand,r2,MAE,less20RE_per,Average_RE,total_valid
451,0.4491,1.4125,0.6214,0.2058,1030
452,0.4758,1.4586,0.5888,0.2336,873
453,0.4632,1.4925,0.6134,0.2279,970
454,0.4624,1.334,0.6313,0.2173,990
455,0.5239,1.3398,0.6273,0.2343,872
456,0.4506,1.3621,0.6548,0.2127,924
457,0.5037,1.3702,0.6243,0.2248,945
458,0.4057,1.3942,0.6236,0.1975,1092
459,0.4899,1.4547,0.5879,0.244,956
460,0.4701,1.3913,0.6294,0.2165,966
461,0.4601,1.4084,0.6281,0.2196,917
462,0.3837,1.4076,0.6301,0.2009,1011
463,0.434,1.3546,0.6467,0.2174,1084
464,0.5001,1.3682,0.6476,0.2121,999
465,0.3823,1.3874,0.6449,0.2155,966
466,0.4917,1.2813,0.6489,0.2216,883
467,0.4136,1.3835,0.6579,0.2066,1099
468,0.5549,1.3869,0.6145,0.2282,856
469,0.4903,1.4249,0.6071,0.2221,901
470,0.5162,1.4151,0.6272,0.2334,979
471,0.4796,1.3439,0.6599,0.2011,1035
472,0.4789,1.2895,0.6517,0.2184,893
473,0.4517,1.3328,0.674,0.207,1006
474,0.462,1.3593,0.6446,0.2057,982
475,0.4321,1.4,0.652,0.205,1049
476,0.4765,1.3666,0.6469,0.2204,960
477,0.4105,1.3427,0.6507,0.1997,982
478,0.4771,1.3602,0.6233,0.2226,892
479,0.4817,1.4441,0.6148,0.2391,997
480,0.4988,1.344,0.6644,0.2031,1019
481,0.4201,1.4122,0.6702,0.1955,1025
482,0.4694,1.3737,0.6551,0.2081,1064
483,0.442,1.3323,0.6476,0.2232,874
484,0.4241,1.4201,0.6342,0.2165,965
485,0.4902,1.3655,0.654,0.2185,948
486,0.4445,1.4155,0.6141,0.2155,938
487,0.4595,1.4145,0.643,0.2178,1014
488,0.526,1.3929,0.6477,0.2312,948
489,0.4375,1.4205,0.6193,0.2085,951
490,0.4606,1.2809,0.6577,0.1955,964
491,0.4191,1.4112,0.6562,0.21,989
492,0.4125,1.4699,0.6037,0.2223,974
493,0.5116,1.4707,0.6201,0.2291,1016
494,0.4753,1.4089,0.6461,0.2134,1088
495,0.4121,1.3093,0.6465,0.2054,973
496,0.4387,1.3539,0.6539,0.2093,1043
497,0.49,1.3397,0.6566,0.2014,891
498,0.4761,1.3894,0.6402,0.2152,956
499,0.47,1.3258,0.6651,0.2079,1033
